pitcher_id,pitcher_name,team,opponent,home_away,game_date,throws,recent_csw,recent_swstr,recent_pitches,recent_games,ks_actual
622491,,Seattle Mariners,Milwaukee Brewers,home,2025-07-23,R,0.2531133981322661,0.11313131313131314,495,5,7.0
682990,,Milwaukee Brewers,Seattle Mariners,away,2025-07-23,R,0.30538719686643695,0.11670480549199085,437,5,6.0
607192,,Los Angeles Dodgers,Minnesota Twins,home,2025-07-23,R,0.2937589935037216,0.13218390804597702,348,5,12.0
663978,,Minnesota Twins,Los Angeles Dodgers,away,2025-07-23,R,0.2242525777846483,0.10864745011086474,451,5,8.0
677944,,Cleveland Guardians,Baltimore Orioles,home,2025-07-23,R,0.25837239568724685,0.06832298136645963,483,5,2.0
621107,,Baltimore Orioles,Cleveland Guardians,away,2025-07-23,R,0.2344574614831653,0.09615384615384616,364,5,5.0
605135,,Toronto Blue Jays,New York Yankees,home,2025-07-23,R,0.3170885935768003,0.09438775510204081,392,5,8.0
608331,,New York Yankees,Toronto Blue Jays,away,2025-07-23,L,0.24519084794251986,0.09623430962343096,478,5,3.0
666200,,Philadelphia Phillies,Boston Red Sox,home,2025-07-23,L,0.2917363587927173,0.13769751693002258,443,5,7.0
608337,,Boston Red Sox,Philadelphia Phillies,away,2025-07-23,R,0.2701980970369332,0.12173913043478261,460,5,2.0
671737,,Tampa Bay Rays,Chicago White Sox,home,2025-07-23,R,0.2213641863278887,0.09685230024213075,413,5,
686563,,Chicago White Sox,Tampa Bay Rays,away,2025-07-23,R,0.21739738955805343,0.09024390243902439,410,5,9.0
571578,,Texas Rangers,Athletics,home,2025-07-23,L,0.29421954856737464,0.1111111111111111,450,5,7.0
676664,,Athletics,Texas Rangers,away,2025-07-23,L,0.2729193937827936,0.09198113207547169,424,5,7.0
671106,,Cleveland Guardians,Baltimore Orioles,home,2025-07-24,L,0.2524340353990567,0.08149779735682819,454,5,4
450203,,Baltimore Orioles,Cleveland Guardians,away,2025-07-24,R,0.2702396631012015,0.10323886639676114,494,5,7
681857,,Detroit Tigers,Toronto Blue Jays,home,2025-07-24,R,0.27719437942730807,0.11286681715575621,443,5,4
641778,,Toronto Blue Jays,Detroit Tigers,away,2025-07-24,L,0.27693261734352614,0.08705882352941176,425,5,6
543243,,St. Louis Cardinals,San Diego Padres,home,2025-07-24,R,0.35302586302586303,0.12874251497005987,334,5,5
506433,,San Diego Padres,St. Louis Cardinals,away,2025-07-24,R,0.25226994936266806,0.09859154929577464,284,4,3
669920,,Houston Astros,Athletics,home,2025-07-24,R,0.3328552631578947,0.10510510510510511,333,5,3
622663,,Athletics,Houston Astros,away,2025-07-24,R,0.21411062375517828,0.0670995670995671,462,5,8
579328,,Los Angeles Angels,Seattle Mariners,home,2025-07-24,L,0.26041384967432524,0.11949685534591195,477,5,4
688138,,Seattle Mariners,Los Angeles Angels,away,2025-07-24,R,0.2598829434736531,0.08428246013667426,439,5,3
642547,,Milwaukee Brewers,Miami Marlins,home,2025-07-25,R,0.28724175545570557,0.11788617886178862,492,5,9.0
615698,,Miami Marlins,Milwaukee Brewers,away,2025-07-25,R,0.2822689506508161,0.09574468085106383,376,5,4.0
681347,,Pittsburgh Pirates,Arizona Diamondbacks,home,2025-07-25,R,0.28219284838471825,0.10810810810810811,370,5,5.0
669194,,Arizona Diamondbacks,Pittsburgh Pirates,away,2025-07-25,R,0.2263400932290974,0.08064516129032258,434,5,4.0
665152,,Baltimore Orioles,Colorado Rockies,home,2025-07-25,R,0.2562476860996956,0.10874200426439233,469,5,5.0
607536,,Colorado Rockies,Baltimore Orioles,away,2025-07-25,L,0.23039691838558468,0.08045977011494253,435,5,4.0
701542,,New York Yankees,Philadelphia Phillies,home,2025-07-25,R,0.2483970879674779,0.08200455580865604,439,5,7.0
592836,,Philadelphia Phillies,New York Yankees,away,2025-07-25,R,0.24563295364079893,0.0547945205479452,292,5,3.0
678394,,Boston Red Sox,Los Angeles Dodgers,home,2025-07-25,R,0.2746335250357631,0.10560344827586207,464,5,5.0
