pitcher_id,pitcher_name,pitch_type,usage_pct,whiff_rate
665152,Dean Kremer,CU,0.1,0.10526315789473684
665152,Dean Kremer,FC,0.24210526315789474,0.10869565217391304
665152,Dean Kremer,FF,0.25526315789473686,0.05154639175257732
665152,Dean Kremer,FS,0.18421052631578946,0.3142857142857143
665152,Dean Kremer,SI,0.21842105263157896,0.024096385542168676
669923,George Kirby,CH,0.012919896640826873,0.4
669923,George Kirby,FF,0.28940568475452194,0.11607142857142858
669923,George Kirby,FS,0.028423772609819122,0.36363636363636365
669923,George Kirby,KC,0.1421188630490956,0.2545454545454545
669923,George Kirby,SI,0.2868217054263566,0.09009009009009009
669923,George Kirby,SL,0.24031007751937986,0.13978494623655913
663903,Brady Singer,FC,0.09495548961424333,0.15625
663903,Brady Singer,FF,0.10979228486646884,0.08108108108108109
663903,Brady Singer,SI,0.41839762611275966,0.04964539007092199
663903,Brady Singer,SL,0.26409495548961426,0.1797752808988764
663903,Brady Singer,ST,0.11275964391691394,0.18421052631578946
624133,Ranger Suárez,CH,0.20759493670886076,0.1951219512195122
624133,Ranger Suárez,CU,0.16962025316455695,0.1044776119402985
624133,Ranger Suárez,FC,0.13670886075949368,0.018518518518518517
624133,Ranger Suárez,FF,0.15949367088607594,0.031746031746031744
624133,Ranger Suárez,SI,0.29873417721518986,0.025423728813559324
624133,Ranger Suárez,SL,0.027848101265822784,0.0
671106,Logan Allen,CH,0.1918918918918919,0.09859154929577464
671106,Logan Allen,FC,0.062162162162162166,0.043478260869565216
671106,Logan Allen,FF,0.5108108108108108,0.06878306878306878
671106,Logan Allen,SI,0.08648648648648649,0.03125
671106,Logan Allen,ST,0.14864864864864866,0.18181818181818182
676083,Janson Junk,CH,0.09451219512195122,0.0967741935483871
676083,Janson Junk,CU,0.0975609756097561,0.125
676083,Janson Junk,FF,0.3567073170731707,0.05982905982905983
676083,Janson Junk,SL,0.21646341463414634,0.1267605633802817
676083,Janson Junk,ST,0.2347560975609756,0.03896103896103896
607074,Carlos Rodón,CH,0.15869017632241814,0.14285714285714285
607074,Carlos Rodón,CU,0.007556675062972292,0.0
607074,Carlos Rodón,FF,0.473551637279597,0.06914893617021277
607074,Carlos Rodón,SI,0.11335012594458438,0.2
607074,Carlos Rodón,SL,0.24685138539042822,0.19387755102040816
621244,José Berríos,CH,0.17480719794344474,0.17647058823529413
621244,José Berríos,FC,0.06940874035989718,0.07407407407407407
621244,José Berríos,FF,0.18508997429305912,0.041666666666666664
621244,José Berríos,SI,0.3264781491002571,0.015748031496062992
621244,José Berríos,SV,0.2442159383033419,0.11578947368421053
676962,Ben Brown,CH,0.08522727272727272,0.06666666666666667
676962,Ben Brown,FF,0.4943181818181818,0.022988505747126436
676962,Ben Brown,KC,0.42045454545454547,0.20270270270270271
605280,Clay Holmes,CH,0.16473317865429235,0.14084507042253522
605280,Clay Holmes,FC,0.11600928074245939,0.1
605280,Clay Holmes,FF,0.048723897911832945,0.0
605280,Clay Holmes,SI,0.44547563805104406,0.078125
605280,Clay Holmes,SL,0.04176334106728538,0.1111111111111111
605280,Clay Holmes,ST,0.18329466357308585,0.0759493670886076
675911,Spencer Strider,CH,0.020512820512820513,0.0
675911,Spencer Strider,CU,0.06923076923076923,0.14814814814814814
675911,Spencer Strider,FF,0.5487179487179488,0.04672897196261682
675911,Spencer Strider,SL,0.36153846153846153,0.20567375886524822
608379,Michael Wacha,CH,0.25,0.12048192771084337
608379,Michael Wacha,CU,0.07530120481927711,0.12
608379,Michael Wacha,FC,0.1746987951807229,0.034482758620689655
608379,Michael Wacha,FF,0.2710843373493976,0.12222222222222222
608379,Michael Wacha,SI,0.10542168674698796,0.02857142857142857
608379,Michael Wacha,SL,0.12349397590361445,0.04878048780487805
680730,Mitchell Parker,CU,0.15714285714285714,0.05454545454545454
680730,Mitchell Parker,FF,0.5742857142857143,0.03482587064676617
680730,Mitchell Parker,FS,0.05142857142857143,0.16666666666666666
680730,Mitchell Parker,SL,0.21714285714285714,0.18421052631578946
656427,Jack Flaherty,CH,0.015418502202643172,0.0
656427,Jack Flaherty,FF,0.4845814977973568,0.08181818181818182
656427,Jack Flaherty,KC,0.2488986784140969,0.19469026548672566
656427,Jack Flaherty,SI,0.013215859030837005,0.0
656427,Jack Flaherty,SL,0.23788546255506607,0.1574074074074074
642547,Freddy Peralta,CH,0.22381930184804927,0.1834862385321101
642547,Freddy Peralta,CU,0.2032854209445585,0.16161616161616163
642547,Freddy Peralta,FF,0.5174537987679672,0.08333333333333333
642547,Freddy Peralta,SL,0.055441478439425054,0.25925925925925924
694973,Paul Skenes,CH,0.11170212765957446,0.2857142857142857
694973,Paul Skenes,CU,0.023936170212765957,0.1111111111111111
694973,Paul Skenes,FF,0.4574468085106383,0.1511627906976744
694973,Paul Skenes,FS,0.061170212765957445,0.043478260869565216
694973,Paul Skenes,SI,0.09574468085106383,0.027777777777777776
694973,Paul Skenes,SL,0.08244680851063829,0.06451612903225806
694973,Paul Skenes,ST,0.1675531914893617,0.19047619047619047
669461,Matthew Liberatore,CH,0.10683760683760683,0.0
669461,Matthew Liberatore,CU,0.1752136752136752,0.04878048780487805
669461,Matthew Liberatore,FC,0.029914529914529916,0.0
669461,Matthew Liberatore,FF,0.3418803418803419,0.0375
669461,Matthew Liberatore,SI,0.10256410256410256,0.0
669461,Matthew Liberatore,SL,0.24358974358974358,0.08771929824561403
607536,Kyle Freeland,CH,0.03289473684210526,0.0
607536,Kyle Freeland,FC,0.15460526315789475,0.06382978723404255
